Day,Month,Year,mean_temp,max_temp,min_temp,meanhum,meandew,pressure,heat,wet
1,8,1999,30.0,32.6,28.3,77,25.5,1002.1,YES,NO
2,8,1999,29.8,32.6,27.4,78,25.4,999.1,NO,NO
3,8,1999,29.7,31.4,28.3,80,25.8,998.4,NO,YES
4,8,1999,28.3,30.3,25.7,87,25.8,999.6,NO,YES
5,8,1999,28.4,32.6,25.3,82,24.9,999.6,NO,YES
6,8,1999,28.6,31.4,26.1,80,24.7,998.4,NO,YES
7,8,1999,29.8,32.2,28.5,79,25.8,999.2,NO,NO
8,8,1999,29.6,32.6,26.7,78,25.2,1001.2,NO,NO
9,8,1999,28.8,30.4,27.0,84,25.8,1002.4,NO,YES
10,8,1999,27.8,31.0,25.0,87,25.3,1003.4,NO,YES
11,8,1999,27.2,29.6,25.2,89,25.3,1002.9,NO,YES
12,8,1999,27.8,28.7,25.9,85,24.9,1002.2,NO,YES
13,8,1999,26.9,28.4,25.4,89,25.0,1003.1,NO,YES
14,8,1999,28.3,30.2,26.1,84,25.2,1006.4,NO,YES
15,8,1999,29.2,32.0,26.5,82,25.7,1010.3,NO,YES
16,8,1999,29.4,32.0,27.9,78,25.1,1009.6,NO,NO
17,8,1999,29.6,32.4,27.9,73,24.2,1009.4,NO,NO
18,8,1999,29.6,32.3,27.4,72,23.9,1010.0,NO,NO
19,8,1999,29.7,32.7,27.2,78,25.4,1009.1,NO,NO
20,8,1999,30.5,33.2,27.9,73,24.9,1004.9,YES,NO
21,8,1999,29.8,35.1,26.2,75,24.8,1000.4,NO,NO
22,8,1999,26.5,28.8,23.9,81,22.8,991.6,NO,YES
23,8,1999,25.0,26.1,23.7,90,23.2,1006.2,NO,YES
24,8,1999,25.7,27.3,23.9,89,23.7,1010.4,NO,YES
25,8,1999,25.7,27.3,23.8,92,24.3,1010.0,NO,YES
26,8,1999,27.5,30.8,25.1,85,24.7,1010.8,NO,YES
27,8,1999,28.0,30.6,26.6,84,25.0,1011.7,NO,YES
28,8,1999,27.0,29.7,25.3,88,24.8,1012.0,NO,YES
29,8,1999,27.4,29.1,26.0,86,24.9,1011.4,NO,YES
30,8,1999,28.4,30.9,27.0,77,24.0,1009.9,NO,NO
31,8,1999,28.2,31.0,26.0,82,24.7,1010.4,NO,YES
1,8,2000,26.4,27.8,24.3,89,24.4,1005.4,NO,YES
2,8,2000,26.4,27.7,24.7,90,24.6,1005.4,NO,YES
3,8,2000,25.9,28.2,24.3,92,24.4,1005.0,NO,YES
4,8,2000,25.6,26.4,24.5,95,24.7,1006.0,NO,YES
5,8,2000,25.6,27.9,24.6,91,24.1,1007.4,NO,YES
6,8,2000,26.5,29.9,24.1,87,24.1,1008.2,NO,YES
7,8,2000,28.0,30.5,25.9,82,24.7,1009.0,NO,YES
8,8,2000,28.7,31.4,26.7,77,24.2,1009.6,NO,NO
9,8,2000,29.2,32.1,26.8,77,24.7,1008.1,NO,NO
10,8,2000,29.8,32.8,27.6,77,25.2,1005.0,NO,NO
11,8,2000,30.1,33.3,28.4,78,25.8,1003.1,YES,NO
12,8,2000,30.0,32.7,28.4,77,25.5,1005.1,YES,NO
13,8,2000,30.1,32.4,28.6,76,25.3,1005.7,YES,NO
14,8,2000,29.9,33.2,28.6,78,25.6,1005.2,NO,NO
15,8,2000,29.5,31.1,28.0,80,25.7,1005.1,NO,YES
16,8,2000,29.2,31.3,26.2,80,25.3,1005.2,NO,YES
17,8,2000,29.6,32.1,28.1,76,24.9,1007.3,NO,NO
18,8,2000,29.3,32.1,28.0,80,25.5,1008.6,NO,YES
19,8,2000,29.7,32.7,27.3,78,25.4,1006.5,NO,NO
20,8,2000,30.0,32.7,28.2,77,25.5,1004.9,YES,NO
21,8,2000,29.8,31.9,27.5,78,25.4,1004.6,NO,NO
22,8,2000,30.0,32.3,28.2,72,24.4,1003.9,YES,NO
23,8,2000,29.1,31.4,26.2,77,24.6,999.4,NO,NO
24,8,2000,28.0,29.3,24.9,85,25.2,1001.4,NO,YES
25,8,2000,28.6,29.9,25.8,82,25.1,1004.2,NO,YES
26,8,2000,26.7,28.7,25.7,92,25.2,1004.0,NO,YES
27,8,2000,26.4,28.4,24.3,93,25.2,1002.3,NO,YES
28,8,2000,27.7,30.0,26.3,81,24.2,1001.3,NO,YES
29,8,2000,29.9,33.0,26.8,68,23.2,999.0,NO,NO
30,8,2000,29.7,32.3,28.1,73,24.1,997.4,NO,NO
31,8,2000,28.5,30.8,26.9,82,25.1,996.7,NO,YES
1,8,2001,28.6,31.3,25.1,83,25.2,1004.3,NO,YES
2,8,2001,26.9,30.2,24.3,90,25.0,1006.2,NO,YES
3,8,2001,27.7,29.6,25.0,87,25.3,1010.3,NO,YES
4,8,2001,29.1,31.8,26.9,77,24.7,1011.2,NO,NO
5,8,2001,29.3,31.2,28.1,83,26.0,1010.6,NO,YES
6,8,2001,29.7,32.2,28.0,79,25.6,1008.0,NO,NO
7,8,2001,30.1,32.9,27.9,75,25.0,1005.6,YES,NO
8,8,2001,30.3,33.4,28.2,75,25.3,1006.3,YES,NO
9,8,2001,30.0,32.2,28.4,79,25.9,1007.9,YES,NO
10,8,2001,29.0,31.1,26.9,85,26.1,1008.3,NO,YES
11,8,2001,28.9,30.6,26.9,82,25.5,1009.7,NO,YES
12,8,2001,28.8,31.8,24.3,82,25.3,1008.9,NO,YES
13,8,2001,29.0,32.6,24.6,76,24.2,1008.3,NO,NO
14,8,2001,29.5,31.8,27.8,78,25.3,1008.5,NO,NO
15,8,2001,29.1,31.9,27.3,79,25.2,1006.5,NO,NO
16,8,2001,28.5,30.4,26.8,78,24.2,1004.1,NO,NO
17,8,2001,29.1,32.2,26.8,77,24.6,1003.6,NO,NO
18,8,2001,29.8,32.5,28.2,72,24.2,1003.9,NO,NO
19,8,2001,29.2,30.4,27.8,78,24.9,1004.7,NO,NO
20,8,2001,29.9,33.2,27.9,73,24.6,1005.9,NO,NO
21,8,2001,30.1,32.9,28.3,76,25.4,1005.2,YES,NO
22,8,2001,30.2,32.9,27.8,76,25.3,1003.4,YES,NO
23,8,2001,31.0,34.0,29.0,74,25.6,1002.2,YES,NO
