"day_day","day_pressure","day_max","day_mean","day_min","day_meandew","day_meanhum","day_meancloud","day_rainfall"
"01","1007.7","32.4","29.6","27.7","24.7","76","27","0.0"
"02","1006.4","32.6","29.8","27.8","24.9","75","52","Trace"
"03","1007.0","33.7","29.8","27.8","25.2","77","63","0.0"
"04","1010.0","32.1","28.0","25.2","25.5","87","80","20.2"
"05","1011.1","28.8","26.8","25.6","24.8","89","80","2.4"
"06","1010.0","29.7","27.1","25.1","25.4","90","79","13.6"
"07","1006.8","32.3","29.2","27.1","25.0","78","65","0.2"
"08","1003.6","31.7","29.3","27.5","25.3","80","80","10.6"
"09","1002.2","31.3","29.1","27.1","26.4","86","80","15.7"
"10","1002.3","31.2","28.6","26.4","25.5","84","86","12.6"
"11","1004.1","28.1","24.0","22.4","23.2","95","89","168.9"
"12","1005.5","26.5","24.4","22.8","21.0","82","86","1.1"
"13","1004.8","26.9","25.0","23.6","22.6","86","88","1.4"
"14","1003.5","26.2","24.9","23.8","23.9","94","91","30.8"
"15","1004.7","26.2","25.6","25.1","25.3","98","91","62.0"
"16","1006.0","27.8","26.8","25.8","26.1","96","88","5.4"
"17","1004.2","29.9","27.5","26.4","26.4","94","82","6.5"
"18","1002.1","32.5","28.8","26.8","26.0","85","59","Trace"
"19","1001.6","33.0","29.7","27.3","25.0","76","27","0.0"
"20","1002.5","34.2","30.1","28.1","25.3","76","47","0.0"
"21","1002.9","33.7","29.6","27.7","25.7","80","69","0.8"
"22","1003.1","29.3","27.5","25.7","25.6","90","84","15.2"
"23","1004.3","30.8","27.6","25.4","25.5","88","82","12.1"
"24","1006.1","29.5","27.4","24.9","25.3","88","89","57.0"
"25","1006.6","30.7","29.3","28.0","25.6","81","86","0.7"
"26","1006.8","31.9","29.7","28.6","25.4","78","74","Trace"
"27","1006.3","32.3","29.8","28.5","25.3","77","74","1.2"
"28","1005.8","32.4","29.8","28.7","25.1","76","72","0.2"
"29","1007.5","31.6","29.8","28.8","25.8","79","69","Trace"
"30","1008.2","33.0","29.8","27.9","25.3","77","32","0.0"
"Mean/Total","1005.5","30.7","28.2","26.5","25.1","84","72","438.6"
"Normal§","1006.1","30.2","27.9","26.2","24.6","82","77","456.1"
