"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7","selection1_selection8","selection1_selection9","selection1_selection10","selection1_selection11","selection1_selection12"
"01","1007.5","30.6","27.2","24.9","24.7","87","85","32.6","2.0","220","18.9"
"02","1007.2","31.2","27.2","25.4","24.6","86","81","3.0","4.5","240","20.3"
"03","1007.3","30.2","27.5","25.3","24.7","85","83","34.1","3.8","220","24.2"
"04","1008.6","31.1","28.0","25.9","25.9","89","84","38.1","3.4","220","17.0"
"05","1009.5","32.6","29.4","27.4","25.9","82","78","0.0","7.3","190","14.5"
"06","1010.4","33.0","30.2","28.5","25.9","78","76","Trace","7.8","180","17.8"
"07","1010.4","33.2","30.1","28.6","25.5","77","72","0.0","9.9","210","21.0"
"08","1008.5","32.4","30.1","28.2","25.4","76","76","1.1","9.6","220","24.7"
"09","1005.4","32.3","30.1","28.4","26.0","79","82","4.1","6.4","220","35.6"
"10","1003.5","31.7","29.5","25.8","25.7","81","86","3.3","2.3","220","29.5"
"11","1004.4","29.4","27.5","24.6","25.9","91","90","111.6","0.3","220","11.8"
"12","1005.3","29.6","27.5","26.5","25.8","91","89","1.5","1.4","040","17.3"
"13","1003.0","30.7","27.7","25.5","25.6","88","90","55.8","0.2","030#","13.8#"
"14","1002.4","31.6","28.4","25.4","23.5","76","58","16.5","10.7","***","***"
"15","1005.3","31.4","28.6","26.4","23.4","74","42","Trace","11.1","***","***"
"16","1006.5","30.1","27.9","26.8","24.1","80","77","0.0","9.0","***","***"
"17","1007.3","28.7","27.6","26.8","25.3","88","87","4.7","0.5","***","***"
"18","1008.1","30.0","28.6","27.5","26.4","88","82","11.1","2.4","***","***"
"19","1007.8","31.7","28.9","26.5","26.4","87","84","14.0","2.8","***","***"
"20","1006.9","32.5","30.1","28.2","26.1","80","66","0.5","9.2","230#","25.5#"
"21","1005.9","32.8","30.8","29.5","26.3","77","79","0.7","8.7","220","30.0"
"22","1004.7","33.0","30.7","28.7","26.4","78","81","0.7","8.9","220","31.6"
"23","1004.8","32.2","30.3","29.1","26.4","80","84","3.2","3.9","230","30.4"
"24","1006.2","30.6","29.1","24.7","26.2","85","88","16.8","0.2","220","27.5"
"25","1006.7","29.7","27.2","24.8","25.1","89","88","35.4","0.4","070","9.4"
"26","1004.0","31.4","28.6","26.1","26.0","86","78","0.9","3.7","230","12.9"
"27","1001.7","32.5","30.2","28.3","26.9","83","78","3.5","5.3","230","17.2"
"28","1001.7","32.7","30.5","29.3","27.1","82","77","2.2","5.3","200","19.7"
"29","1001.6","33.3","31.0","29.5","26.8","79","72","0.6","6.5","190","21.6"
"30","1001.6","33.0","29.5","26.9","26.7","85","74","33.1","6.4","190","11.7"
"Mean/Total","1005.8","31.5","29.0","27.0","25.7","83","79","429.1","153.9","220#","21.0#"
"Normal§","1006.1","30.2","27.9","26.2","24.6","82","77","456.1","146.1","220","22.9"
