"d_name","d_selection1","d_selection2","d_selection3","d_selection4","d_selection5","d_selection6"
"01","1002.1","32.6","30.0","28.3","25.5","77"
"02","999.1","32.6","29.8","27.4","25.4","78"
"03","998.4","31.4","29.7","28.3","25.8","80"
"04","999.6","30.3","28.3","25.7","25.8","87"
"05","999.6","32.6","28.4","25.3","24.9","82"
"06","998.4","31.4","28.6","26.1","24.7","80"
"07","999.2","32.2","29.8","28.5","25.8","79"
"08","1001.2","32.6","29.6","26.7","25.2","78"
"09","1002.4","30.4","28.8","27.0","25.8","84"
"10","1003.4","31.0","27.8","25.0","25.3","87"
"11","1002.9","29.6","27.2","25.2","25.3","89"
"12","1002.2","28.7","27.8","25.9","24.9","85"
"13","1003.1","28.4","26.9","25.4","25.0","89"
"14","1006.4","30.2","28.3","26.1","25.2","84"
"15","1010.3","32.0","29.2","26.5","25.7","82"
"16","1009.6","32.0","29.4","27.9","25.1","78"
"17","1009.4","32.4","29.6","27.9","24.2","73"
"18","1010.0","32.3","29.6","27.4","23.9","72"
"19","1009.1","32.7","29.7","27.2","25.4","78"
"20","1004.9","33.2","30.5","27.9","24.9","73"
"21","1000.4","35.1","29.8","26.2","24.8","75"
"22","991.6","28.8","26.5","23.9","22.8","81"
"23","1006.2","26.1","25.0","23.7","23.2","90"
"24","1010.4","27.3","25.7","23.9","23.7","89"
"25","1010.0","27.3","25.7","23.8","24.3","92"
"26","1010.8","30.8","27.5","25.1","24.7","85"
"27","1011.7","30.6","28.0","26.6","25.0","84"
"28","1012.0","29.7","27.0","25.3","24.8","88"
"29","1011.4","29.1","27.4","26.0","24.9","86"
"30","1009.9","30.9","28.4","27.0","24.0","77"
"31","1010.4","31.0","28.2","26.0","24.7","82"
"Mean/Total","1005.0","30.8","28.3","26.2","24.9","82"
"Normal§","1005.1","31.3","28.4","26.3","24.8","86"
