selection1_name,selection1_selection2,selection1_selection3,selection1_selection4,selection1_selection5,selection1_selection6,selection1_selection7
1,1010.3,32.7,30,28.3,25.9,79
2,1010.3,32.7,29.4,28,25.4,79
3,1007.5,32.2,29.1,27.3,24.4,76
4,1005.1,33.1,30,27.5,24.7,74
5,1005.5,33.7,29.4,24.3,25.2,79
6,1006,32.2,28.4,25,24.8,81
7,1004.5,32.2,28.8,25.7,25.7,84
8,1003.5,32.2,28.8,25.8,25.8,84
9,1003.9,32.6,29.6,27.7,26.2,82
10,1006.2,33.7,30.2,28,25.6,77
11,1008.7,30.1,28.3,26.9,26.1,88
12,1009.5,32.6,29.3,27.1,25.2,79
13,1008.7,32.7,29.8,27.9,25.7,79
14,1009.2,31.7,29.4,28,25.3,79
15,1010.4,29.6,28.1,26.1,24.9,83
16,1010.3,30.1,27.1,25.3,24.3,85
17,1010.1,32.6,28.3,26.2,25.1,83
18,1011.7,30.9,28.6,26.9,25.5,84
19,1012.9,30.1,27.5,25.3,26.1,92
20,1012.6,32.1,28,24.5,25.1,85
21,1009.8,32.8,29.4,27.2,25.1,78
22,1008.4,31.9,28.9,26.5,25.7,83
23,1008.6,31.8,28.5,25.1,25.5,84
24,1010.4,29.3,26.5,25.3,25.2,93
25,1010.4,30.5,28,26.3,24.6,82
26,1008.7,31.5,28.4,27.2,25,82
27,1007.5,32,28.8,26.4,24.5,78
28,1007.2,30.8,27.9,24.7,24.3,81
29,1006.6,32.9,29.2,27.1,24.8,78
30,1004.1,32.6,29.7,27.7,24.4,74
31,1002.4,33,30.4,28.1,23.8,69
Mean/Total,1008.1,31.9,28.8,26.6,25.2,81
Normal?,1005.1,31.1,28.4,26.4,24.9,86
