"selection1_name","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection5","selection1_selection6","selection1_selection7"
"01","997.2","33.6","30.6","27.4","25.0","73"
"02","997.1","34.1","31.8","29.3","24.4","66"
"03","998.4","33.0","31.0","29.6","24.4","68"
"04","998.7","30.5","29.8","29.3","26.0","80"
"05","1000.6","31.3","29.5","28.1","26.3","83"
"06","1002.2","32.5","29.0","25.3","25.8","84"
"07","1000.9","32.9","30.0","27.4","25.6","78"
"08","999.9","33.4","30.5","28.6","25.8","77"
"09","1000.9","34.3","30.5","28.5","25.2","74"
"10","1003.0","32.0","29.6","27.0","25.2","77"
"11","1004.2","29.5","27.6","25.5","25.1","86"
"12","1003.3","29.6","27.7","25.1","25.3","87"
"13","1003.3","30.1","27.8","26.4","25.6","88"
"14","1004.8","31.9","28.4","26.7","25.7","85"
"15","1003.9","33.7","30.0","27.2","25.5","77"
"16","1001.5","32.6","28.6","25.8","25.5","84"
"17","1004.7","29.7","28.2","26.8","25.3","85"
"18","1008.6","32.6","29.4","28.0","25.8","81"
"19","1008.1","32.0","29.2","27.6","24.9","78"
"20","1006.3","32.9","29.5","27.5","24.8","76"
"21","1006.4","31.6","29.1","27.8","25.0","79"
"22","1006.3","28.9","28.0","26.6","24.5","81"
"23","1006.0","31.8","28.9","26.6","24.0","75"
"24","1005.0","32.8","29.9","27.3","23.7","70"
"25","1003.6","33.4","30.1","27.8","22.5","64"
"26","1001.3","32.8","30.5","28.9","21.9","60"
"27","1001.4","33.4","30.8","28.6","21.9","59"
"28","1004.3","34.5","31.0","28.9","25.5","74"
"29","1007.2","31.8","29.4","26.7","24.7","76"
"30","1007.2","33.3","30.1","28.6","25.5","77"
"31","1007.6","30.9","28.5","26.0","25.8","85"
"Mean/Total","1003.3","32.2","29.5","27.4","24.9","77"
