"selection1_name","selection1_selection2","selection1_selection3"
"10.3","240","21.0"
"11.0","250","27.3"
"1.5","250","19.6"
"11.6","240","10.3"
"3.0","230","16.3"
"1.2","240","10.1"
"1.9","010","4.5"
"5.5","230","7.1"
"6.6","110","26.0"
"4.7","100","21.4"
"1.6","110","28.1"
"9.1","090","30.8"
"6.5","060","32.1"
"7.7","030","19.6"
"0.8","250","16.7"
"3.7","230","28.8"
"2.9","230","25.2"
"7.8","230","22.9"
"4.4","210","19.9"
"0.2","210","26.0"
"1.6","200","21.6"
"0.0","200","8.5"
"0.3","180","13.7"
"4.9","190","13.6"
"1.3","190","16.3"
"9.5","220","14.7"
"8.6","190","11.0"
"9.9","160","8.5"
"5.2","110","17.9"
"4.0","150","25.5"
"147.3","230","18.9"
"146.1","220","22.9"
