day,pressure,max_temp,mean_temp,min_temp,meandew,meanhum,meancloud,rainfall,year,population,sunshine_hour,wind_direction,wind_speed,air_health_quality,heat,wet,rain
1,1007.5,33.2,30.2,28.1,25.5,77,60,3.7,2014,7229500,10.3,240,21,2.666666667,YES,NO,Less
2,1005.5,32.7,30.1,28.4,25,74,67,0,2014,7229500,11,250,27.3,2.933333333,YES,NO,None
3,1004.2,31.3,29.5,28.4,25.5,79,83,0.09,2014,7229500,1.5,250,19.6,3,NO,NO,None
4,1004.3,32.5,30.2,28.3,25.2,75,56,0,2014,7229500,11.6,240,10.3,2.866666667,YES,NO,None
5,1003.6,32,29.9,28.4,25.8,79,80,0.2,2014,7229500,3,230,16.3,2.733333333,NO,NO,None
6,1003.1,30.1,28,26.6,24.4,81,88,17.2,2014,7229500,1.2,240,10.1,4.066666667,NO,YES,More
7,1002.3,30,27.2,25.2,24.2,84,87,7.6,2014,7229500,1.9,10,4.5,4.2,NO,YES,Less
8,1001.2,31.5,28.6,26.2,25.2,82,75,57.6,2014,7229500,5.5,230,7.1,9,NO,YES,More
9,1001.8,30.5,27.8,25.9,24.3,81,80,0.09,2014,7229500,6.6,110,26,4.4,NO,YES,None
10,1001.7,30.7,28.4,27,24.3,79,82,0.09,2014,7229500,4.7,100,21.4,5.6,NO,NO,None
11,1001.9,29.4,28.1,27.4,24,78,85,0.09,2014,7229500,1.6,110,28.1,4.133333333,NO,NO,None
12,1002.1,32.3,28.8,26.9,22.2,68,59,0,2014,7229500,9.1,90,30.8,6.733333333,NO,NO,None
13,1002.6,31.9,28.8,26.3,19.4,58,46,0,2014,7229500,6.5,60,32.1,7.933333333,NO,NO,None
14,1003.1,33.5,29.8,27.8,20.7,59,75,0.09,2014,7229500,7.7,30,19.6,8.8,NO,NO,None
15,1001.9,30.8,28.2,25.3,24.1,80,87,9.9,2014,7229500,0.8,250,16.7,6.733333333,NO,YES,Less
16,1002.5,31.9,29.6,26.6,26,81,88,3.8,2014,7229500,3.7,230,28.8,5.066666667,NO,YES,Less
17,1004.7,31.9,30.2,29.2,26.1,79,87,1.1,2014,7229500,2.9,230,25.2,3.266666667,YES,NO,Less
18,1004.6,32.5,30.1,27.7,26,79,80,6,2014,7229500,7.8,230,22.9,3.133333333,YES,NO,Less
19,1003.4,32.6,29.7,27.5,26.4,83,83,10.5,2014,7229500,4.4,210,19.9,3.2,NO,YES,More
20,1002.7,30.5,29.2,26.2,26.4,85,87,29.2,2014,7229500,0.2,210,26,3.266666667,NO,YES,More
21,1003.2,30.2,28.4,25.3,26.1,88,87,47.6,2014,7229500,1.6,200,21.6,3.6,NO,YES,More
22,1004.1,28.1,26.6,25.2,25.5,94,86,114.9,2014,7229500,0,200,8.5,3.066666667,NO,YES,More
